사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Mar.25,2호선,228,서울대입구(관악구청),4549,41,26162,2435,44218,14509,128395,29639,175799,76075,121536,68044,72868,60025,64321,50028,71966,53415,78449,59290,68481,60173,73454,69670,80019,81315,91887,111384,96744,174612,60693,141864,53051,91463,55049,88321,48078,85228,26022,50041,4546,19292,0,3093,0,0,0,0
Mar.25,2호선,229,봉천,100,12,15096,1267,28706,6448,84558,14430,122852,29462,76288,22375,45083,20813,38557,24423,39950,26070,38677,28157,35799,32195,32844,41184,34235,46079,35431,60494,34839,93139,22375,76083,18238,49502,15616,46917,11784,42971,5131,25168,881,8002,1,647,0,0,0,0
Mar.25,2호선,230,신림,123,11,35753,3696,67749,18253,182846,29808,268094,45601,166733,46082,97134,43570,80420,47232,86629,52957,80972,61452,75094,68035,72373,85691,78267,104194,81546,142006,83117,224519,58461,197148,49455,133239,46449,126056,39038,117067,21888,72829,4502,23433,4,547,0,0,0,0
Mar.25,2호선,231,신대방,239,10,23578,1878,35447,9233,91539,14349,130915,24866,83301,18692,48025,18429,39405,20016,39482,22571,38226,26809,32485,30642,31387,41081,33258,48489,34160,63786,32166,93076,21001,81233,16158,57435,13169,60488,10220,55256,4908,32583,904,9211,9,224,0,1,0,0
Mar.25,2호선,232,구로디지털단지,308,16,39387,4854,53480,19566,140436,80695,186124,218242,117324,136480,73999,58983,67479,47661,74619,52330,73482,66687,66212,64759,71916,72361,87630,87361,136682,114115,199860,166473,100841,132798,65385,91231,54041,90951,41511,84556,19018,49478,3392,13433,1,256,0,0,0,0
Mar.25,2호선,233,대림(구로구청),627,13,35886,3279,30228,10472,68508,22328,96640,52987,65379,36353,43372,34922,38301,39298,39589,35739,39026,35668,37555,36376,37972,45439,39853,54067,46078,64188,51501,71621,26957,52933,19800,41764,15288,50414,11134,46595,5432,23035,724,5876,3,188,0,0,0,0
Mar.25,2호선,234,신도림,4169,12,35916,5320,55605,20144,146160,44568,152915,108936,96866,78556,67869,67985,67156,72418,77142,72291,80836,77288,82861,74629,88447,84705,93092,98583,114671,125172,130305,180346,81225,126876,71727,80200,60120,75634,47593,70260,22557,48372,2617,21692,12,2579,0,0,0,0
Mar.25,2호선,235,문래,9,1,4404,2614,15064,10532,45532,39773,51328,136368,29322,65584,22801,29032,23007,25091,27350,28608,28652,31011,29628,29863,31948,32274,39500,36628,67311,45408,115320,67179,44414,44606,32142,25012,33644,22459,28658,19382,13539,11249,2131,3594,0,90,0,0,0,1
Mar.25,2호선,236,영등포구청,52,1,5138,3235,13433,14689,41171,40044,52371,123559,32700,55236,25016,30609,26448,28072,29902,28428,31499,31716,31963,29637,36264,30953,41301,35634,61056,43134,101521,61706,40197,41873,32478,26833,28013,24163,20761,21302,9482,13810,1675,4886,1,170,0,0,0,0
Mar.25,2호선,237,당산,35,8,8007,3485,18952,14272,49028,28349,60050,75403,37507,32514,28446,18047,26902,17750,27513,20777,26756,23436,24485,24408,26116,28674,31188,36201,43768,53193,58538,76871,27018,53510,21634,37194,20796,35422,17146,32525,8908,20187,1448,4948,3,134,0,0,0,0
