업체명,모델명,연료,변속형식,차량형식,자동차 종류,도심주행연비,고속도로연비,CO2배출량(g_km),1회충전주행거리(km),배기량,등급,출시연도
포드,Lincoln Aviator 3.0 PHEV,전기+휘발유,자동,PHEV,승용차,12,13.7,65,30,2956,PHEV,2020
BMW,BMW X5 xDrive30d,경유,자동,하이브리드,승용차,10,11.6,181,,2993,4등급,2020
기아,K5(DL3) 2.0GDI 하이브리드_18인치(빌트인캠),휘발유,자동,하이브리드,승용차,17.6,17.5,91,,1999,1등급,2020
기아,K5(DL3) 2.0GDI 하이브리드_18인치타이어,휘발유,자동,하이브리드,승용차,18.1,17.8,88,,1999,1등급,2020
크라이슬러,짚 글래디에이터,휘발유,자동,내연기관,화물차,5.9,7.3,269,,3604,5등급,2020
BMW,BMW 740d xDrive,경유,자동,하이브리드,승용차,11.3,14.8,151,,2993,3등급,2020
BMW,BMW 730Ld xDrive,경유,자동,하이브리드,승용차,11.7,15,147,,2993,3등급,2020
BMW,BMW 730d xDrive,경유,자동,하이브리드,승용차,10.9,14.6,156,,2993,3등급,2020
한국지엠,트랙스 1.4,휘발유,자동,내연기관,승용차,10.3,13,148,,1399,4등급,2021
아우디,Q3 Sportback 35 TDI quattro,경유,자동,내연기관,승용차,12.6,16.4,135,,1968,2등급,2021
BMW,BMW 530e,전기+휘발유,자동,PHEV,승용차,16.2,19.5,28,45,1998,PHEV,2020
BMW,BMW M550i xDrive,휘발유,자동,내연기관,승용차,6.7,10,219,,4395,5등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 4WD 5인 20인치타이어,휘발유,자동,내연기관,승용차,8.8,11.1,175,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 4WD 6인 20인치타이어,휘발유,자동,내연기관,승용차,8.8,11.1,175,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 4WD 5인 18인치타이어,휘발유,자동,내연기관,승용차,9,11.8,168,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 4WD 6인 18인치타이어,휘발유,자동,내연기관,승용차,9,11.8,168,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 2WD 5인 20인치타이어,휘발유,자동,내연기관,승용차,9.3,11.8,164,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 2WD 6인 20인치타이어,휘발유,자동,내연기관,승용차,9.3,11.8,164,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 2WD 6인 18인치타이어,휘발유,자동,내연기관,승용차,9.5,12.4,159,,2497,4등급,2020
BMW,BMW 523d xDrive,경유,자동,하이브리드,승용차,13.8,17.7,123,,1995,2등급,2020
BMW,BMW 523d,경유,자동,하이브리드,승용차,14.4,17.5,119,,1995,2등급,2020
아우디,S4 TFSI,휘발유,자동,내연기관,승용차,8.6,12.3,175,,2995,4등급,2020
BMW,BMW M5,휘발유,자동,내연기관,승용차,6.6,9.2,225,,4395,5등급,2020
DFSK,C35S5,휘발유,수동,내연기관,화물차,9.6,9.9,174,,1493,4등급,2018
기아,쏘렌토(MQ4) 2.5T-GDI 4WD 7인 20인치타이어,휘발유,자동,내연기관,승용차,8.8,11.1,175,,2497,4등급,2020
